,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao
25393,9.0,11.2,0.0,6,0.0,2.5,99.0,1026.2
25394,3.2,6.9,0.0,4,0.0,0.9,100.0,-99.0
25395,0.7,12.9,-99.0,3,0.0,0.2,-99.0,-99.0
25396,2.5,9.3,0.0,5,0.0,0.7,91.0,1025.6
25397,9.0,9.0,-99.0,6,0.0,2.5,92.0,-99.0
25398,5.4,13.2,0.0,6,0.0,1.5,92.0,1027.4
25399,4.7,12.3,0.0,7,0.0,1.3,92.0,-99.0
25400,6.1,12.4,0.0,6,-99.0,1.7,99.0,-99.0
25401,9.4,14.5,-99.0,6,0.1,2.6,94.0,1026.9
25402,7.2,11.2,0.0,6,0.0,2.0,89.0,-99.0
25403,5.8,-99.0,0.0,7,0.0,1.6,91.0,-99.0
25404,0.0,8.0,0.0,7,0.0,0.0,93.0,-99.0
25405,4.3,10.3,0.6,7,0.0,1.2,97.0,-99.0
25406,1.8,8.7,0.4,3,0.0,0.5,100.0,-99.0
25407,4.0,10.9,0.0,5,0.0,1.1,99.0,-99.0
25408,21.2,12.6,-99.0,7,0.1,5.9,95.0,-99.0
25409,20.9,12.5,0.0,7,0.0,5.8,99.0,-99.0
25410,6.8,14.5,0.0,6,0.0,1.9,67.0,-99.0
25411,4.3,9.4,0.1,7,0.0,1.2,92.0,-99.0
25412,0.0,6.5,-99.0,2,0.0,0.0,96.0,-99.0
25413,3.2,12.0,2.2,6,0.0,0.9,94.0,-99.0
25414,10.8,13.5,0.0,5,0.1,3.0,100.0,1024.1
25415,2.5,6.0,0.0,2,0.0,0.7,100.0,1027.3
25416,7.6,6.5,-99.0,5,-99.0,2.1,100.0,-99.0
25417,2.9,12.6,-99.0,2,0.2,0.8,89.0,-99.0
25418,-99.0,13.4,-99.0,0,0.0,-99.0,98.0,-99.0
25419,5.8,14.2,-99.0,5,0.2,1.6,94.0,-99.0
25420,3.6,11.3,-99.0,1,0.7,1.0,96.0,-99.0
25421,5.4,12.2,-99.0,9,0.7,1.5,95.0,-99.0
25422,3.2,13.2,-99.0,5,0.3,0.9,97.0,-99.0
25423,6.5,12.7,-99.0,4,-99.0,1.8,95.0,-99.0
25424,2.9,8.6,0.0,6,-99.0,0.8,-99.0,-99.0
25425,2.2,10.7,-99.0,4,0.0,0.6,98.0,-99.0
25426,19.1,11.3,-99.0,8,0.0,5.3,85.0,-99.0
25427,1.4,7.4,0.0,3,0.0,0.4,94.0,1027.7
25428,6.8,15.1,-99.0,6,0.1,1.9,94.0,1021.9
25429,10.1,14.3,-99.0,7,0.0,2.8,94.0,1021.7
25430,13.7,15.8,-99.0,7,-99.0,3.8,87.0,1022.4
25431,10.8,12.9,-99.0,6,0.0,3.0,87.0,1022.2
25432,13.7,15.1,-99.0,1,0.0,3.8,69.0,1034.8
25433,12.6,7.1,-99.0,6,0.1,3.5,98.0,1018.4
25434,8.6,13.8,0.0,6,0.0,2.4,98.0,-99.0
25435,11.9,9.3,-99.0,5,0.0,3.3,75.0,-99.0
25436,10.4,15.2,-99.0,9,0.0,2.9,74.0,-99.0
25437,0.0,14.2,-99.0,4,1.0,0.0,100.0,-99.0
25438,12.6,14.7,0.0,8,1.7,3.5,100.0,1019.4
25439,-99.0,12.7,-99.0,0,0.0,-99.0,91.0,-99.0
25440,9.7,17.8,0.0,4,0.0,2.7,57.0,-99.0
25441,26.3,6.6,0.0,7,0.0,7.3,87.0,-99.0
25442,-99.0,12.5,0.0,0,0.0,-99.0,81.0,-99.0
25443,-99.0,14.5,0.0,0,0.0,-99.0,78.0,-99.0
25444,-99.0,4.6,0.0,0,0.0,-99.0,56.0,-99.0
25445,10.4,7.5,0.0,3,0.0,2.9,93.0,-99.0
